type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,09,-8.0365938228,114.4618806615, , ,False, , ,1289, , ,2025-02-22T01:36:25Z, , ,2025/02/22 08:36:25
TRACK,09,-8.0365922302,114.4618835952, , ,False, , ,1288, , ,2025-02-22T01:36:27Z, , ,2025/02/22 08:36:27
TRACK,09,-8.0365901347,114.4618818350, , ,False, , ,1285, , ,2025-02-22T01:36:29Z, , ,2025/02/22 08:36:29
TRACK,09,-8.0365890451,114.4618860260, , ,False, , ,1285, , ,2025-02-22T01:36:31Z, , ,2025/02/22 08:36:31
TRACK,09,-8.0365866981,114.4618830085, , ,False, , ,1282, , ,2025-02-22T01:36:33Z, , ,2025/02/22 08:36:33
TRACK,09,-8.0365858600,114.4618866965, , ,False, , ,1282, , ,2025-02-22T01:36:35Z, , ,2025/02/22 08:36:35
TRACK,09,-8.0365879554,114.4618835114, , ,False, , ,1282, , ,2025-02-22T01:36:37Z, , ,2025/02/22 08:36:37
TRACK,09,-8.0365895480,114.4618852716, , ,False, , ,1278, , ,2025-02-22T01:36:39Z, , ,2025/02/22 08:36:39
TRACK,09,-8.0365920626,114.4618841819, , ,False, , ,1273, , ,2025-02-22T01:36:41Z, , ,2025/02/22 08:36:41
TRACK,09,-8.0365947448,114.4618826732, , ,False, , ,1282, , ,2025-02-22T01:36:43Z, , ,2025/02/22 08:36:43
TRACK,09,-8.0365986843,114.4618820865, , ,False, , ,1284, , ,2025-02-22T01:36:45Z, , ,2025/02/22 08:36:45
TRACK,09,-8.0366027076,114.4618750457, , ,False, , ,1308, , ,2025-02-22T01:36:47Z, , ,2025/02/22 08:36:47
TRACK,09,-8.0366040487,114.4618749619, , ,False, , ,1329, , ,2025-02-22T01:36:49Z, , ,2025/02/22 08:36:49
TRACK,09,-8.0366031267,114.4618749619, , ,False, , ,1337, , ,2025-02-22T01:36:51Z, , ,2025/02/22 08:36:51
TRACK,09,-8.0366013665,114.4618739560, , ,False, , ,1337, , ,2025-02-22T01:36:53Z, , ,2025/02/22 08:36:53
TRACK,09,-8.0365991872,114.4618742913, , ,False, , ,1339, , ,2025-02-22T01:36:55Z, , ,2025/02/22 08:36:55
TRACK,09,-8.0365973432,114.4618706871, , ,False, , ,1332, , ,2025-02-22T01:36:57Z, , ,2025/02/22 08:36:57
TRACK,09,-8.0365927331,114.4618715253, , ,False, , ,1324, , ,2025-02-22T01:36:59Z, , ,2025/02/22 08:36:59
TRACK,09,-8.0365905538,114.4618742075, , ,False, , ,1340, , ,2025-02-22T01:37:01Z, , ,2025/02/22 08:37:01
TRACK,09,-8.0365938228,114.4618718605, , ,False, , ,1369, , ,2025-02-22T01:37:03Z, , ,2025/02/22 08:37:03
TRACK,09,-8.0365802441,114.4618706033, , ,False, , ,1376, , ,2025-02-22T01:37:05Z, , ,2025/02/22 08:37:05
TRACK,09,-8.0365630612,114.4618756324, , ,False, , ,1414, , ,2025-02-22T01:37:07Z, , ,2025/02/22 08:37:07
TRACK,09,-8.0365473870,114.4618847687, , ,False, , ,1413, , ,2025-02-22T01:37:09Z, , ,2025/02/22 08:37:09
TRACK,09,-8.0365339760,114.4618897140, , ,False, , ,1440, , ,2025-02-22T01:37:11Z, , ,2025/02/22 08:37:11
TRACK,09,-8.0365224928,114.4618945755, , ,False, , ,1456, , ,2025-02-22T01:37:13Z, , ,2025/02/22 08:37:13
TRACK,09,-8.0365120992,114.4619041309, , ,False, , ,1512, , ,2025-02-22T01:37:15Z, , ,2025/02/22 08:37:15
TRACK,09,-8.0365059804,114.4619158655, , ,False, , ,1548, , ,2025-02-22T01:37:17Z, , ,2025/02/22 08:37:17
TRACK,09,-8.0364944134,114.4619250018, , ,False, , ,1533, , ,2025-02-22T01:37:19Z, , ,2025/02/22 08:37:19
TRACK,09,-8.0364877917,114.4619302824, , ,False, , ,1495, , ,2025-02-22T01:37:21Z, , ,2025/02/22 08:37:21
TRACK,09,-8.0364702735,114.4619396701, , ,False, , ,1471, , ,2025-02-22T01:37:23Z, , ,2025/02/22 08:37:23
TRACK,09,-8.0364505760,114.4619478006, , ,False, , ,1472, , ,2025-02-22T01:37:25Z, , ,2025/02/22 08:37:25
TRACK,09,-8.0364299566,114.4619519077, , ,False, , ,1532, , ,2025-02-22T01:37:27Z, , ,2025/02/22 08:37:27
TRACK,09,-8.0364212394,114.4619595353, , ,False, , ,1451, , ,2025-02-22T01:37:29Z, , ,2025/02/22 08:37:29
TRACK,09,-8.0364159588,114.4619571883, , ,False, , ,1455, , ,2025-02-22T01:37:31Z, , ,2025/02/22 08:37:31
TRACK,09,-8.0364039727,114.4619524945, , ,False, , ,1474, , ,2025-02-22T01:37:33Z, , ,2025/02/22 08:37:33
TRACK,09,-8.0363936629,114.4619569369, , ,False, , ,1407, , ,2025-02-22T01:37:35Z, , ,2025/02/22 08:37:35
TRACK,09,-8.0363840237,114.4619633071, , ,False, , ,1341, , ,2025-02-22T01:37:37Z, , ,2025/02/22 08:37:37
TRACK,09,-8.0363743007,114.4619751256, , ,False, , ,1280, , ,2025-02-22T01:37:39Z, , ,2025/02/22 08:37:39
TRACK,09,-8.0363630690,114.4619794004, , ,False, , ,1248, , ,2025-02-22T01:37:41Z, , ,2025/02/22 08:37:41
